datetime,matte_west,Power
4/28/2023 12:08,1147.991943,8.580827713
4/28/2023 12:09,1149.994507,8.640117645
4/28/2023 12:09,1173.952393,8.673066139
4/28/2023 12:09,1105.999146,8.748703957
4/28/2023 12:09,1007.995483,8.82566452
4/28/2023 12:09,1108.992065,8.904747009
4/28/2023 12:10,1066.998779,8.91857338
4/28/2023 12:10,1076.890869,8.930503845
4/28/2023 12:10,1062.9104,8.915222168
4/28/2023 12:10,1275.771973,8.786560059
4/28/2023 12:11,1100.987427,8.506012917
4/28/2023 12:11,1019.995789,8.48968029
4/28/2023 12:11,1086.001953,8.495281219
4/28/2023 12:11,1303.661743,8.433833122
4/28/2023 12:11,1276.851318,8.38871479
4/28/2023 12:12,1370.990234,8.45198822
4/28/2023 13:32,1277.500244,7.604721546
4/28/2023 13:33,1053.99707,7.592111111
4/28/2023 13:33,1227.987549,7.566269875
4/28/2023 13:33,1005.99884,7.458706379
4/28/2023 13:33,1243.953247,7.139065266
4/28/2023 13:33,1274.955566,6.826616764
4/28/2023 13:33,1010.984436,6.864724159
4/28/2023 13:34,1306.956299,6.781685829
4/28/2023 13:34,1255.957642,7.042432785
4/28/2023 13:34,1317.914917,7.153069973
4/28/2023 13:34,1441.641479,6.974876404
4/28/2023 13:34,1044.985596,6.696439743
4/28/2023 13:34,1023.976013,6.696751595
4/28/2023 13:35,1084.872803,6.773088932
4/28/2023 13:35,1146.731934,7.200584888
4/28/2023 13:35,1226.795166,7.648234844
4/28/2023 13:35,1071.995605,7.96183157
4/28/2023 13:36,1056.984863,8.085996628
4/28/2023 13:36,1198.939941,8.08259201
4/28/2023 13:38,1333.934448,8.606061935
4/28/2023 13:38,1146.807617,8.626861572
4/28/2023 13:38,1181.967041,8.672738075
4/28/2023 13:38,1448.676758,8.727708817
4/28/2023 13:39,1043.569946,8.750921249
4/28/2023 13:39,1304.756348,8.792915344
4/28/2023 13:39,1262.841675,8.82943058
4/28/2023 13:39,1375.925659,8.826307297
4/28/2023 13:39,1331.987793,8.819181442
4/28/2023 13:39,1121.687134,8.814188004
4/28/2023 13:40,1475.992065,8.864919662
4/28/2023 13:40,1309.800537,8.889389992
4/28/2023 13:40,1385.992798,8.900371552
4/28/2023 13:40,1312.79187,8.626866341
4/28/2023 13:40,1287.725708,8.517893791
4/28/2023 13:40,1021.216614,8.544525146
4/28/2023 13:41,1166.390015,8.545834541
4/28/2023 13:41,1163.990356,8.521611214
4/28/2023 13:41,1267.812866,8.551668167
4/28/2023 13:41,1111.990967,0
4/28/2023 13:42,1301.987061,0
4/28/2023 13:47,1182.968872,5.58774519
4/28/2023 13:47,1019.991577,5.930182457
4/28/2023 13:47,1005.996521,5.939970493
4/28/2023 13:49,1161.976563,7.022032738
4/28/2023 13:49,1129.996948,7.289036751
4/28/2023 13:49,1226.898071,7.348638535
4/28/2023 21:49,1071.490112,8.081300735
4/29/2023 5:49,1183.731689,0
4/29/2023 13:49,1019.985352,8.96207428
4/29/2023 21:49,1221.799561,7.162600517
4/29/2023 22:39,1271.928467,9.569016457
4/29/2023 22:42,1012.997192,9.967359543
4/29/2023 22:42,1001.996094,10.00483227
4/29/2023 22:45,1136.98877,9.648563385
4/29/2023 22:45,1117.999512,9.634540558
4/29/2023 22:45,1014.968018,9.667309761
4/29/2023 23:47,1133.997559,0
4/29/2023 23:47,1019.997009,0
4/29/2023 23:47,1148.995483,0
4/29/2023 23:48,1033.996582,0
4/29/2023 23:48,1362.993042,0
4/29/2023 23:48,1124.995239,0
4/29/2023 23:49,1158.848022,0
4/29/2023 23:49,1316.98584,0
4/29/2023 23:49,1005.997925,0
4/29/2023 23:50,1098.992432,0
4/29/2023 23:50,1126.000488,0
4/29/2023 23:50,1144.92688,0
4/29/2023 23:50,1165.991943,0
4/29/2023 23:50,1221.952026,0
4/29/2023 23:51,1272.963989,0
4/29/2023 23:54,1001.99939,3.511515379
4/29/2023 23:54,1127.994019,3.451686621
4/29/2023 23:54,1393.992798,3.543133259
4/29/2023 23:55,1027.973877,2.132021427
4/29/2023 23:55,1317.946899,2.13607192
4/29/2023 23:55,1285.913818,2.120905161
4/29/2023 23:56,1003.997498,2.006872654
4/29/2023 23:57,1139.998535,1.976217031
4/29/2023 23:57,1010.99939,2.008473396
4/29/2023 23:57,1129.992798,2.060889244
4/29/2023 23:57,1149.997437,2.106346369
4/29/2023 23:57,1132.982422,2.231832266
4/29/2023 23:58,1005.006592,4.946233749
4/29/2023 23:58,1114.003174,5.239798069
4/29/2023 23:58,1299.592651,5.608317852
4/30/2023 0:06,1254.908569,9.11843586
4/30/2023 0:07,1331.984741,9.10547924
4/30/2023 0:13,1029.978271,7.767326832
4/30/2023 0:13,1015.962585,7.760436058
4/30/2023 0:13,1185,7.786912918
4/30/2023 0:17,1017.028809,9.275374413
4/30/2023 0:18,1131.999146,9.238669395
4/30/2023 8:08,1231.990723,9.085247993
4/30/2023 12:18,1171.992188,9.499302864
4/30/2023 12:21,1227.834473,9.442770004
4/30/2023 12:21,1359.996948,9.425992966
4/30/2023 12:21,1122.995117,9.346341133
4/30/2023 12:21,1043.990967,9.175863266
4/30/2023 12:22,1128,8.96246624
4/30/2023 12:22,1142.001221,8.787582397
4/30/2023 12:22,1114.00061,8.779405594
4/30/2023 12:23,1023.999756,8.886404991
4/30/2023 12:23,1030.318481,8.959565163
4/30/2023 12:23,1019.317322,8.973766327
4/30/2023 12:23,1139.93689,8.985154152
4/30/2023 12:24,1355.982544,8.988485336
4/30/2023 12:24,1036.991943,9.012125015
4/30/2023 12:24,1327.931885,9.006923676
4/30/2023 12:24,1112.020752,8.963846207
4/30/2023 12:24,1142.973389,8.950051308
4/30/2023 12:24,1113.008667,8.965538979
4/30/2023 12:25,1182.981445,8.967693329
4/30/2023 12:25,1003.999268,8.977556229
4/30/2023 12:25,1040.078003,8.930994034
4/30/2023 12:25,1157.96814,9.037834167
4/30/2023 12:25,1120.938843,9.326375008
4/30/2023 12:25,1112.49292,9.486157417
4/30/2023 12:26,1097.000244,9.550735474
4/30/2023 12:26,1134.973755,9.568914413
4/30/2023 12:26,1118,9.566414833
4/30/2023 12:26,1030,9.559352875
4/30/2023 12:27,1025.959473,9.578256607
4/30/2023 12:27,1063.064087,9.57078743
4/30/2023 12:27,1177.933838,9.553575516
4/30/2023 12:27,1245.964966,9.536525726
4/30/2023 12:27,1083.950684,9.517230988
4/30/2023 12:27,1101.988159,9.477583885
4/30/2023 12:28,1114.894775,9.427542686
4/30/2023 12:31,1063.995972,9.337590218
